,vehicle_name,capacity,arrival (planned),arrival (realized)
0,Barge-FVE883,207,2021-07-01 20:00:00,2021-07-01 19:55:00
1,Barge-FWU263,207,2021-07-09 10:00:00,2021-07-09 09:45:00
2,Barge-URV346,207,2021-07-15 15:00:00,2021-07-15 14:20:00
3,Barge-RYD303,207,2021-07-16 07:00:00,2021-07-16 07:05:00
4,Barge-ZFD631,207,2021-07-22 18:00:00,2021-07-22 18:55:00
5,Barge-FIF876,207,2021-07-29 17:00:00,2021-07-29 17:15:00
6,Barge-VHE791,84,2021-07-05 10:30:00,2021-07-05 11:30:00
7,Barge-MNE448,84,2021-07-12 17:05:00,2021-07-12 17:55:00
8,Barge-KSS921,84,2021-07-18 19:05:00,2021-07-18 19:30:00
9,Barge-XMX530,84,2021-07-19 13:30:00,2021-07-19 13:20:00
10,Barge-XGB099,84,2021-07-24 11:00:00,2021-07-24 10:30:00
11,Barge-KXH416,135,2021-07-22 19:00:00,2021-07-22 19:40:00
12,Barge-CPU708,118,2021-07-09 20:30:00,2021-07-09 20:10:00
13,Barge-MSW144,118,2021-07-21 09:00:00,2021-07-21 09:00:00
14,Barge-FCH615,118,2021-07-26 12:00:00,2021-07-26 11:30:00
15,Barge-HQX626,45,2021-07-02 19:10:00,2021-07-02 18:50:00
16,Barge-TAC371,45,2021-07-08 18:50:00,2021-07-08 18:55:00
17,Barge-TXD834,45,2021-07-20 11:00:00,2021-07-20 10:40:00
18,Barge-WZK697,45,2021-07-26 15:00:00,2021-07-26 13:10:00
19,Barge-PGI360,45,2021-07-31 15:00:00,2021-07-31 14:20:00
20,Barge-UGO235,160,2021-07-02 10:00:00,2021-07-02 09:10:00
21,Barge-ULL199,160,2021-07-05 11:00:00,2021-07-05 08:50:00
22,Barge-IIN961,160,2021-07-07 15:00:00,2021-07-07 13:20:00
23,Barge-SRT218,160,2021-07-09 11:30:00,2021-07-09 11:25:00
24,Barge-OGD737,160,2021-07-12 19:05:00,2021-07-12 19:20:00
25,Barge-JJK905,160,2021-07-13 19:45:00,2021-07-13 19:15:00
26,Barge-OPH304,160,2021-07-14 09:00:00,2021-07-14 08:45:00
27,Barge-TWH268,160,2021-07-15 08:05:00,2021-07-15 08:30:00
28,Barge-NKQ010,160,2021-07-16 09:00:00,2021-07-16 09:30:00
29,Barge-SMD704,160,2021-07-17 07:00:00,2021-07-17 07:00:00
30,Barge-WSX729,160,2021-07-18 07:00:00,2021-07-18 07:00:00
31,Barge-DKA295,160,2021-07-19 18:05:00,2021-07-19 17:00:00
32,Barge-CQQ005,160,2021-07-21 11:30:00,2021-07-21 11:15:00
33,Barge-KPY661,160,2021-07-22 12:00:00,2021-07-22 12:00:00
34,Barge-EQG795,160,2021-07-23 15:00:00,2021-07-23 14:40:00
35,Barge-GCW639,160,2021-07-24 13:00:00,2021-07-24 13:30:00
36,Barge-NML685,160,2021-07-26 17:00:00,2021-07-26 17:10:00
37,Barge-ADV938,160,2021-07-28 13:00:00,2021-07-28 12:35:00
38,Barge-HYF214,160,2021-07-29 07:00:00,2021-07-29 07:00:00
39,Barge-ZKA004,160,2021-07-30 11:00:00,2021-07-30 10:25:00
40,Barge-AFF497,55,2021-07-06 03:30:00,2021-07-06 03:30:00
41,Barge-POG181,55,2021-07-14 03:00:00,2021-07-14 03:55:00
42,Barge-CQT044,55,2021-07-14 21:30:00,2021-07-14 21:20:00
43,Barge-VEC274,55,2021-07-16 13:00:00,2021-07-16 12:25:00
44,Barge-OIH941,55,2021-07-20 23:00:00,2021-07-20 21:50:00
45,Barge-GAD845,55,2021-07-21 05:00:00,2021-07-21 04:50:00
46,Barge-EKX230,55,2021-07-21 17:45:00,2021-07-21 18:10:00
47,Barge-SGS328,55,2021-07-24 07:00:00,2021-07-24 06:35:00
48,Barge-GPR240,55,2021-07-27 04:00:00,2021-07-27 03:50:00
49,Barge-JAT900,55,2021-07-29 10:00:00,2021-07-29 09:40:00
50,Barge-MID710,177,2021-07-02 15:00:00,2021-07-02 15:05:00
