,vehicle_name,capacity,arrival (planned),arrival (realized)
0,DeepSeaVessel-JUR980,4402,2021-07-01 15:00:00,2021-07-01 15:15:00
1,DeepSeaVessel-BRE634,8600,2021-07-02 12:00:00,2021-07-02 11:50:00
2,DeepSeaVessel-WSR717,6350,2021-07-03 14:00:00,2021-07-03 13:15:00
3,DeepSeaVessel-NKY106,2824,2021-07-04 13:00:00,2021-07-04 12:55:00
4,DeepSeaVessel-FJJ788,10500,2021-07-04 16:00:00,2021-07-04 16:15:00
5,DeepSeaVessel-YDK690,6900,2021-07-04 17:30:00,2021-07-04 17:35:00
6,DeepSeaVessel-OLW744,9012,2021-07-05 21:30:00,2021-07-05 21:15:00
7,DeepSeaVessel-JLA217,8606,2021-07-06 14:00:00,2021-07-06 13:45:00
8,DeepSeaVessel-NUR373,4888,2021-07-07 06:30:00,2021-07-07 06:40:00
9,DeepSeaVessel-EPF929,2474,2021-07-07 23:00:00,2021-07-07 23:30:00
10,DeepSeaVessel-SBR039,5642,2021-07-08 17:00:00,2021-07-08 17:15:00
11,DeepSeaVessel-MMG376,9000,2021-07-08 22:45:00,2021-07-08 23:15:00
12,DeepSeaVessel-NRW546,4924,2021-07-08 23:00:00,2021-07-08 23:45:00
13,DeepSeaVessel-QRJ353,6539,2021-07-09 07:00:00,2021-07-09 07:00:00
14,DeepSeaVessel-ULC375,4402,2021-07-09 23:00:00,2021-07-09 23:30:00
15,DeepSeaVessel-GZI346,6921,2021-07-10 06:30:00,2021-07-10 06:40:00
16,DeepSeaVessel-WVV555,9040,2021-07-10 20:00:00,2021-07-10 20:05:00
17,DeepSeaVessel-CGL263,5041,2021-07-10 23:00:00,2021-07-10 23:15:00
18,DeepSeaVessel-EMB808,14026,2021-07-11 19:00:00,2021-07-11 19:30:00
19,DeepSeaVessel-JRM869,3237,2021-07-13 04:30:00,2021-07-13 04:40:00
20,DeepSeaVessel-BAE270,9400,2021-07-13 05:00:00,2021-07-13 05:25:00
21,DeepSeaVessel-XLI295,8600,2021-07-14 10:30:00,2021-07-14 10:35:00
22,DeepSeaVessel-MMP101,6921,2021-07-15 19:00:00,2021-07-15 18:40:00
23,DeepSeaVessel-NXR751,8800,2021-07-16 11:00:00,2021-07-16 10:55:00
24,DeepSeaVessel-HVG059,6921,2021-07-16 14:30:00,2021-07-16 14:45:00
25,DeepSeaVessel-VOC739,2824,2021-07-17 06:00:00,2021-07-17 06:00:00
26,DeepSeaVessel-YWX068,8212,2021-07-17 15:00:00,2021-07-17 15:45:00
27,DeepSeaVessel-AYQ766,5527,2021-07-17 19:00:00,2021-07-17 19:30:00
28,DeepSeaVessel-CCS243,4402,2021-07-18 14:00:00,2021-07-18 13:25:00
29,DeepSeaVessel-GVT268,8886,2021-07-19 14:30:00,2021-07-19 14:50:00
30,DeepSeaVessel-FOE109,10589,2021-07-20 06:00:00,2021-07-20 08:10:00
31,DeepSeaVessel-GQC785,4520,2021-07-21 05:00:00,2021-07-21 05:05:00
32,DeepSeaVessel-ZIT882,8628,2021-07-21 19:00:00,2021-07-21 19:45:00
33,DeepSeaVessel-AJJ965,8212,2021-07-21 21:00:00,2021-07-21 21:00:00
34,DeepSeaVessel-ZXW996,6900,2021-07-22 23:55:00,2021-07-22 23:55:00
35,DeepSeaVessel-UPZ880,5605,2021-07-23 13:00:00,2021-07-23 12:45:00
36,DeepSeaVessel-IWH306,4045,2021-07-24 12:00:00,2021-07-24 12:05:00
37,DeepSeaVessel-ONM012,14052,2021-07-24 19:00:00,2021-07-24 19:10:00
38,DeepSeaVessel-MJH239,10500,2021-07-25 11:30:00,2021-07-25 12:25:00
39,DeepSeaVessel-MND881,6921,2021-07-26 00:30:00,2021-07-26 01:15:00
40,DeepSeaVessel-YXN139,8235,2021-07-26 22:00:00,2021-07-26 22:50:00
41,DeepSeaVessel-TRX982,2400,2021-07-27 00:30:00,2021-07-27 00:15:00
42,DeepSeaVessel-SDM807,3237,2021-07-27 23:00:00,2021-07-27 23:15:00
43,DeepSeaVessel-YAK488,4888,2021-07-28 18:30:00,2021-07-28 18:35:00
44,DeepSeaVessel-CZV390,2824,2021-07-28 21:30:00,2021-07-28 21:30:00
45,DeepSeaVessel-REG069,5605,2021-07-29 19:00:00,2021-07-29 19:00:00
46,DeepSeaVessel-QFU658,6921,2021-07-29 23:45:00,2021-07-30 00:15:00
47,DeepSeaVessel-OCL053,2550,2021-07-30 11:30:00,2021-07-30 11:50:00
48,DeepSeaVessel-BGM232,9034,2021-07-31 08:00:00,2021-07-31 08:15:00
49,DeepSeaVessel-YDF760,4402,2021-07-31 10:00:00,2021-07-31 09:15:00
